Date,Event Link,Event,Location,Venue,Attendance
2007-07-07,http://ufcstats.com/event-details/2a6f8136da1e52c0,UFC 73: Stacked,"Sacramento, California, USA",ARCO Arena,13183
2007-06-23,http://ufcstats.com/event-details/e7ec11096eac0282,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,
2007-06-16,http://ufcstats.com/event-details/5ca158b1cc9cb242,UFC 72: Victory,"Belfast, Northern Ireland, United Kingdom",The Odyssey,7850
2007-06-12,http://ufcstats.com/event-details/304fcd812f12c589,UFC Fight Night: Stout vs. Fisher,"Hollywood, Florida, USA",Seminole Hard Rock Hotel and Casino,
2007-05-26,http://ufcstats.com/event-details/2e04a3b4a2011b97,UFC 71: Liddell vs. Jackson,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14728
2007-04-21,http://ufcstats.com/event-details/4604ab1de9058474,UFC 70: Nations Collide,"Manchester, England, United Kingdom",Manchester Evening News Arena,15114
2007-04-07,http://ufcstats.com/event-details/c1684f00c626f4c0,UFC 69: Shootout,"Houston, Texas, USA",Toyota Center,15269
2007-04-05,http://ufcstats.com/event-details/a6c2f5381d575920,UFC Fight Night: Stevenson vs. Guillard,"Las Vegas, Nevada, USA",Palms Casino Resort,1734
2007-03-03,http://ufcstats.com/event-details/de3ed2e152520c8d,UFC 68: The Uprising,"Columbus, Ohio, USA",Nationwide Arena,19079
2007-02-03,http://ufcstats.com/event-details/63b65af1c5cb02cb,UFC 67: All or Nothing,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10787
2007-01-25,http://ufcstats.com/event-details/13c4313ed0f744f3,UFC Fight Night: Evans vs. Salmon,"Hollywood, Florida, USA",Seminole Hard Rock Hotel and Casino,5287
2006-12-30,http://ufcstats.com/event-details/ee5df903f80c6816,UFC 66: Liddell vs. Ortiz 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13671
2006-12-13,http://ufcstats.com/event-details/21b8a0f5c231096f,UFC Fight Night: Sanchez vs. Riggs,"San Diego, California, USA",Marine Corps Air Station Miramar,3000
2006-11-18,http://ufcstats.com/event-details/3fed746acfd026dd,UFC 65: Bad Intentions,"Sacramento, California, USA",ARCO Arena,14666
2006-11-11,http://ufcstats.com/event-details/baf942f4bcb09894,The Ultimate Fighter: The Comeback Finale,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,1000
2006-10-14,http://ufcstats.com/event-details/13b2f59210dda9cc,UFC 64: Unstoppable,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10173
2006-10-10,http://ufcstats.com/event-details/577ec7e108b94be3,Ortiz vs. Shamrock 3: The Final Chapter,"Hollywood, Florida, USA",Seminole Hard Rock Hotel and Casino,3510
2006-09-23,http://ufcstats.com/event-details/13e62d766b709aa6,UFC 63: Hughes vs. Penn,"Anaheim, California, USA",Honda Center,12604
2006-08-26,http://ufcstats.com/event-details/f717b6002486f73f,UFC 62: Liddell vs. Sobral,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10503
2006-08-17,http://ufcstats.com/event-details/46c8ec317aff28ac,UFC Fight Night 6,"Las Vegas, Nevada, USA",Red Rock Resort Spa and Casino,1412
2006-07-08,http://ufcstats.com/event-details/f70144caea5c4c80,UFC 61: Bitter Rivals,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,11167
2006-06-28,http://ufcstats.com/event-details/445a98acb8985970,UFC Fight Night 5,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,606
2006-06-24,http://ufcstats.com/event-details/1dab0d1d81dd06db,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,849
2006-05-27,http://ufcstats.com/event-details/a54a35a670d8e852,UFC 60: Hughes vs. Gracie,"Los Angeles, California, USA",Staples Center,14765
2006-04-15,http://ufcstats.com/event-details/03688dc3c3af3ac1,UFC 59: Reality Check,"Anaheim, California, USA",Honda Center,13814
2006-04-06,http://ufcstats.com/event-details/b361180739bed4b0,UFC Fight Night 4,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,843
2006-03-04,http://ufcstats.com/event-details/0e9869d712e81f8f,UFC 58: USA vs. Canada,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,9569
2006-02-04,http://ufcstats.com/event-details/977081bc01197656,UFC 57: Liddell vs. Couture 3,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10659
2006-01-16,http://ufcstats.com/event-details/2ee09ec2a0695eb9,UFC Fight Night 3,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,1008
2005-11-19,http://ufcstats.com/event-details/c7e9d15cfce52f1d,UFC 56: Full Force,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12000
2005-11-05,http://ufcstats.com/event-details/31ceaf0e670c1578,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,
2005-10-07,http://ufcstats.com/event-details/271fe91f4ba9d2c5,UFC 55: Fury,"Uncasville, Connecticut, USA",Mohegan Sun Arena,8000
2005-10-03,http://ufcstats.com/event-details/efaf544314bb5c2e,UFC Fight Night 2,"Las Vegas, Nevada, USA",Hard Rock Hotel and Casino,
2005-08-20,http://ufcstats.com/event-details/669a3cb6e394f515,UFC 54: Boiling Point,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13520
2005-08-06,http://ufcstats.com/event-details/3f24c96753dbd9f9,UFC Fight Night 1,"Las Vegas, Nevada, USA",Cox Pavilion,
2005-06-04,http://ufcstats.com/event-details/d3711d3784b76255,UFC 53: Heavy Hitters,"Atlantic City, New Jersey, USA",Boardwalk Hall,12000
2005-04-16,http://ufcstats.com/event-details/c933d423ebdbbbdb,UFC 52: Couture vs. Liddell 2,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,14562
2005-04-09,http://ufcstats.com/event-details/fbbde91f7bc2d3c5,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,"Las Vegas, Nevada, USA",Cox Pavilion,
2005-02-05,http://ufcstats.com/event-details/85d905f7c4f5a1af,UFC 51: Super Saturday,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,11072
2004-10-22,http://ufcstats.com/event-details/ce783bf73b5131f9,UFC 50: The War Of '04,"Atlantic City, New Jersey, USA",Boardwalk Hall,9000
2004-08-21,http://ufcstats.com/event-details/b4bc2e3353a770b5,UFC 49: Unfinished Business,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,12100
2004-06-19,http://ufcstats.com/event-details/429e7d3725852ce9,UFC 48: Payback,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10000
2004-04-02,http://ufcstats.com/event-details/e8fb8e53bc2e29d6,UFC 47: It's On!,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,11437
2004-01-31,http://ufcstats.com/event-details/94609dd91731d428,UFC 46: Supernatural,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10700
2003-11-21,http://ufcstats.com/event-details/e670f8cc2969a789,UFC 45: Revolution,"Uncasville, Connecticut, USA",Mohegan Sun Arena,9200
2003-09-26,http://ufcstats.com/event-details/c61f66d8c3fd5f07,UFC 44: Undisputed,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,10400
2003-06-06,http://ufcstats.com/event-details/108afe61a26bcbf4,UFC 43: Meltdown,"Las Vegas, Nevada, USA",Thomas & Mack Center,9800
2003-04-25,http://ufcstats.com/event-details/ae58685caf8e4a0d,UFC 42: Sudden Impact,"Miami, Florida, USA",American Airlines Arena,7500
2003-02-28,http://ufcstats.com/event-details/bba678d312590087,UFC 41: Onslaught,"Atlantic City, New Jersey, USA",Boardwalk Hall,11707
2002-11-22,http://ufcstats.com/event-details/e06fd1260ac865a7,UFC 40: Vendetta,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,13770
2002-09-27,http://ufcstats.com/event-details/0cf935519d439ba6,UFC 39: The Warriors Return,"Uncasville, Connecticut, USA",Mohegan Sun Arena,7800
2002-07-13,http://ufcstats.com/event-details/1dc56b59cb28425d,UFC 38: Brawl at the Hall,"London, England, United Kingdom",Royal Albert Hall,5000
2002-06-22,http://ufcstats.com/event-details/9ccdd2ce45903f34,UFC 37.5: As Real As It Gets,"Las Vegas, Nevada, USA",Bellagio,3700
2002-05-10,http://ufcstats.com/event-details/9fd1f08dd4aec14a,UFC 37: High Impact,"Bossier City, Louisiana, USA",CenturyTel Center,7200
2002-03-22,http://ufcstats.com/event-details/02fc8f50f56eb307,UFC 36: Worlds Collide,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,10000
2002-01-11,http://ufcstats.com/event-details/946f341df6472ee0,UFC 35: Throwdown,"Uncasville, Connecticut, USA",Mohegan Sun Arena,9600
2001-11-02,http://ufcstats.com/event-details/4dc496aa0cfc0d95,UFC 34: High Voltage,"Las Vegas, Nevada, USA",MGM Grand Garden Arena,9000
2001-09-28,http://ufcstats.com/event-details/c75b99887c8c3f5a,UFC 33: Victory in Vegas,"Las Vegas, Nevada, USA",Mandalay Bay Events Center,9500
2001-06-29,http://ufcstats.com/event-details/7b9aa973e5c04624,UFC 32: Showdown in the Meadowlands,"East Rutherford, New Jersey, USA",Continental Airlines Arena,12500
2001-05-04,http://ufcstats.com/event-details/20bd6c3e03c46ee6,UFC 31: Locked and Loaded,"Atlantic City, New Jersey, USA",Etess Arena at Trump Taj Mahal,
2001-02-23,http://ufcstats.com/event-details/2b1587a3376ab743,UFC 30: Battle on the Boardwalk,"Atlantic City, New Jersey, USA",Etess Arena at Trump Taj Mahal,3000
2000-12-16,http://ufcstats.com/event-details/08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,"Tokyo, Japan",Differ Ariake Arena,1414
2000-11-17,http://ufcstats.com/event-details/da6dfd09cca1d705,UFC 28: High Stakes,"Atlantic City, New Jersey, USA",Etess Arena at Trump Taj Mahal,
2000-09-22,http://ufcstats.com/event-details/31652c9267606d54,UFC 27: Ultimate Bad Boyz,"New Orleans, Louisiana, USA",Lakefront Arena,
2000-06-09,http://ufcstats.com/event-details/cedfdf8d423d500c,UFC 26: Ultimate Field Of Dreams,"Cedar Rapids, Iowa, USA",Five Seasons Events Center,1100
2000-04-14,http://ufcstats.com/event-details/d2b1c1317a39f6c6,UFC 25: Ultimate Japan 3,"Tokyo, Japan",Yoyogi National Gymnasium,
2000-03-10,http://ufcstats.com/event-details/20ec0061400178ca,UFC 24: First Defense,"Lake Charles, Louisiana, USA",Lake Charles Civic Center,
1999-11-19,http://ufcstats.com/event-details/a8fa0c4e95512806,UFC 23: Ultimate Japan 2,"Chiba, Japan",Tokyo Bay NK Hall,
1999-09-24,http://ufcstats.com/event-details/afaad7d6a581e307,UFC 22: Only One Can be Champion,"Lake Charles, Louisiana, USA",Lake Charles Civic Center,
1999-07-16,http://ufcstats.com/event-details/1a1a4d7a29041d77,UFC 21: Return of the Champions,"Cedar Rapids, Iowa, USA",Five Seasons Events Center,
1999-05-07,http://ufcstats.com/event-details/a7b48e18ca27795d,UFC 20: Battle for the Gold,"Birmingham, Alabama, USA",Boutwell Memorial Auditorium,
1999-03-05,http://ufcstats.com/event-details/a220be6d41d6f97d,UFC 19: Ultimate Young Guns,"Bay St. Louis, Mississippi, USA",Casino Magic Bay St. Louis,
1999-01-08,http://ufcstats.com/event-details/c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,"New Orleans, Louisiana, USA",Pontchartrain Center,
1998-10-16,http://ufcstats.com/event-details/32a3025d5db456ae,UFC - Ultimate Brazil,"Sao Paulo, Brazil",Ginásio da Portuguesa,
1998-05-15,http://ufcstats.com/event-details/4a01dc8376736ef5,UFC 17: Redemption,"Mobile, Alabama, USA",Mobile Civic Center,
1998-03-13,http://ufcstats.com/event-details/749685d24e2cac50,UFC 16: Battle in the Bayou,"New Orleans, Louisiana, USA",Pontchartrain Center,4600
1997-12-21,http://ufcstats.com/event-details/29f935654825331b,UFC - Ultimate Japan,"Yokohama, Kanagawa, Japan",Yokohama Arena,5000
1997-10-17,http://ufcstats.com/event-details/07a18ae55dfc3cd9,UFC 15: Collision Course,"Bay St. Louis, Mississippi, USA",Casino Magic Bay St. Louis,
1997-07-27,http://ufcstats.com/event-details/dc950d59dc590aca,UFC 14: Showdown,"Birmingham, Alabama, USA",Boutwell Memorial Auditorium,5000
1997-05-30,http://ufcstats.com/event-details/5bd533d50c8e7b8a,UFC 13: The Ultimate Force,"Augusta, Georgia, USA",Augusta Civic Center,5100
1997-02-07,http://ufcstats.com/event-details/96eff1a628adcc7f,UFC 12: Judgement Day,"Dothan, Alabama, USA",Dothan Civic Center,3100
1996-12-07,http://ufcstats.com/event-details/9b5b5a75523728f3,UFC - Ultimate Ultimate '96,"Birmingham, Alabama, USA",Fair Park Arena,6000
1996-09-20,http://ufcstats.com/event-details/6ceff86fae4f6b3b,UFC 11: The Proving Ground,"Augusta, Georgia, USA",Augusta Civic Center,4500
1996-07-12,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,UFC 10: The Tournament,"Birmingham, Alabama, USA",Fair Park Arena,4300
1996-05-17,http://ufcstats.com/event-details/a390eb8a9b2df298,UFC 9: Motor City Madness,"Detroit, Michigan, USA",Cobo Arena,10000
1996-02-16,http://ufcstats.com/event-details/b63e800c18e011b5,UFC 8: David vs. Goliath,"San Juan, Puerto Rico",Coliseo Rubén Rodríguez,13000
1995-12-16,http://ufcstats.com/event-details/31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,"Denver, Colorado, USA",Mammoth Gardens,2800
1995-09-08,http://ufcstats.com/event-details/5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,"Buffalo, New York, USA",Buffalo Memorial Auditorium,9000
1995-07-14,http://ufcstats.com/event-details/1c3f5e85b59ec710,UFC 6: Clash of the Titans,"Casper, Wyoming, USA",Casper Events Center,2700
1995-04-07,http://ufcstats.com/event-details/dedc3bb440d09554,UFC 5: The Return of the Beast,"Charlotte, North Carolina, USA",Independence Arena,6000
1994-12-16,http://ufcstats.com/event-details/b60391da771deefe,UFC 4: Revenge of the Warriors,"Tulsa, Oklahoma, USA",Expo Square Pavilion,5857
1994-09-09,http://ufcstats.com/event-details/1a49e0670dfaca31,UFC 3: The American Dream,"Charlotte, North Carolina, USA",Grady Cole Center,3000
1994-03-11,http://ufcstats.com/event-details/a6a9ab5a824e8f66,UFC 2: No Way Out,"Denver, Colorado, USA",Mammoth Gardens,2000
